_id,created_at,friends,id,password,premium,total_score,username
69365cfe04c30bdac78d3c9f,2025-12-08T05:07:10.893298+00:00,[],02d648a1-2aa0-4cce-be8f-f4a8f5f00a88,$2b$12$z7Y2RdlHc0zQMKsKeKUUP.m9HspDHMJ/hQ/1LJAhiyyxCMOERrM46,True,988,test
693713cb824ee4b9f9eaa8e3,2025-12-08T18:07:07.576591+00:00,[],dd3cd5ac-84f6-4fcb-bb51-e47f6fe67dd7,$2b$12$STRd5JWMXraOr5EPlu31r.ZSZ.Cjm36JT6U8amLwfuHMtk1fyrOi6,False,0,test2
693720020b760892563706a6,2025-12-08T18:59:14.676486+00:00,[],a7f01262-9743-48d2-bf05-bd199a73a539,$2b$12$PKt2UgbGC.MCqiYk30FY8eCxvCl6Kg5qqYjIU3jzF5G7h.F5sbCWK,False,0,test3
693721520b760892563706a9,2025-12-08T19:04:50.145401+00:00,[],89aab688-468f-43c8-bd23-4d8cd105159c,$2b$12$BuJvHw6Zr2cEjZO3./q8S.0jygzVzdXjfXyQ46.3fRup8sEyPXLc6,False,0,test4
693722380b760892563706ac,2025-12-08T19:08:40.451009+00:00,[],c44b947c-a0cd-4e30-86b1-9b0f143ca392,$2b$12$d1hAhZtbSTIo8jopDihLtOUsM7z.rBsMLF3MjPxjskIpwgepN6bmO,False,0,test5
693722a70b760892563706af,2025-12-08T19:10:31.731017+00:00,[],50b3d0f4-3518-465a-83ae-1debe9808afb,$2b$12$s6tXDZb2oiuvlCU1slbINebZT//uY.jiYOQOowIoX5CrtMn6WftOC,False,0,test6
6937236c0b760892563706b2,2025-12-08T19:13:48.124938+00:00,[],09f85c24-68f2-41b3-929c-1c130da72226,$2b$12$4otT9jGMU7Rwkcxa5Td4x.X8gEbdk98CgKiBR0/tPt1mMMGXfEoRG,False,0,test7
693726f50b760892563706b5,2025-12-08T19:28:53.473727+00:00,[],23c2a896-c803-42f5-baf9-d864b7dfce80,$2b$12$xBIBWaTauYn8nYNKRmnWu.n7KA5QTmDgNwo5imDX6RpasYAX0/uey,False,0,test8
693735910b760892563706b6,2025-12-08T20:31:13.210537+00:00,[],2ffe7434-bc38-4bd7-82ff-62ab3330dc20,$2b$12$3ZrTxmSlhi/5OMdkET.suOugNu4hAUbCydwqcerwr0YvGOp3Dqgo6,False,0,test9
69373dc60b760892563706b7,2025-12-08T21:06:14.017312+00:00,[],182d61b4-f2ce-455b-bebe-d38eb267bc35,$2b$12$2mM6mr/AMgmxFio/J9lwHOyP0ns4ofwDGOdDSyoRv6ljG2TLGoMsy,False,0,test10
69373f8ebbed659c094665a1,2025-12-08T21:13:50.518880+00:00,[],f372d5c5-5fe2-425a-930c-81b3767c801d,$2b$12$8CCx.BalPlnkcI89WO3/Du0D61ipSOZILmcCEhqT8ns3ahFpuAzA.,True,0,test_stack_1
69373fe9bbed659c094665a7,2025-12-08T21:15:21.021654+00:00,[],10ca8145-17d8-4448-9b3c-d70e7039aec4,$2b$12$e0vc88VNyjo0iegFVbH6t.M61ntkW9OK.7p1ZYf82J8p58TokFxlq,False,0,teast11
69374477bbed659c094665a9,2025-12-08T21:34:47.983296+00:00,[],8daa7763-456d-46a8-bfc5-5884b9b54435,$2b$12$iS2nf0cgNhqnaEkwM6hpe.TLNahV.PEt0vs47ihY8C93iCCixhvFW,False,1562,test12
69374546bbed659c094665af,2025-12-08T21:38:14.596934+00:00,[],a3b8810f-6faf-4307-8438-ab8a7b1eacf5,$2b$12$c1/LcoH.4gIRePXWiwPocuxisba6/0Tswzppzh3EBz/KUYA.n1ipG,False,442,test13
693746b1bbed659c094665b1,2025-12-08T21:44:17.834483+00:00,[],fe1e286a-215a-40f6-89e6-b2becab01900,$2b$12$my0u7hyrzbxSOnvJBrx5UOTCrm5eX4a5YIrT9cG.NBv8m/s/bvYsO,False,0,test14
693746f2bbed659c094665b3,2025-12-08T21:45:22.636484+00:00,[],424b786a-901b-4971-a02d-7b4ed89521bd,$2b$12$jUHpCNfVTQ/T9CgKfkPqkuoBYfSfVvFE4mMBEWojEhXvFGZmAE4li,False,0,teat14
693747bdbbed659c094665b8,2025-12-08T21:48:45.002661+00:00,[],019e01ab-5944-42e3-8bf4-d8b75c76c07a,$2b$12$jUIClP1LsNoavnZu2lhcROI0iWNERyqOwc4HoRZ1zzDK8lPfCJpve,True,816,test15
